source_id,url,price_man_yen,layout,area_sqm,year_built,floor_number,floors_total,address,nearest_station,walk_minutes,image_count
77527098,https://suumo.jp/ms/chuko/tokyo/sc_shinagawa/nc_77527098/,2980.0,2K,39.63,1976,2.0,6.0,東京都品川区南品川４-5-29 [ ■ 周辺環境 ],新馬場駅,6.0,25
20298152,https://suumo.jp/ms/chuko/tokyo/sc_shinjuku/nc_20298152/,2999.0,1LDK,33.48,1972,4.0,1.0,東京都新宿区上落合２ [ ■ 周辺環境 ],中井駅,4.0,24
78658957,https://suumo.jp/ms/chuko/tokyo/sc_sumida/nc_78658957/,2980.0,2DK,42.48,1993,1.0,10.0,東京都墨田区墨田１-１５－１５ [ ■ 周辺環境 ],東向島駅,4.0,23
20104371,https://suumo.jp/ms/chuko/tokyo/sc_toshima/nc_20104371/,2980.0,1K,24.33,1992,6.0,8.0,東京都豊島区東池袋２-6-6 [ ■ 周辺環境 ],向原駅,3.0,11
20324105,https://suumo.jp/ms/chuko/tokyo/sc_toshima/nc_20324105/,2898.0,1DK,32.16,1977,5.0,6.0,東京都豊島区北大塚３-27 [ ■ 周辺環境 ],大塚駅,6.0,33
20016965,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20016965/,3180.0,1LDK,45.0,1975,7.0,9.0,東京都足立区千住曙町 [ ■ 周辺環境 ],京成関屋駅,1.0,22
20031019,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20031019/,3190.0,1LDK,45.68,2018,8.0,11.0,東京都足立区谷在家１ [ ■ 周辺環境 ],谷在家駅,4.0,28
20115178,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20115178/,2999.0,3LDK,60.16,1978,3.0,13.0,東京都足立区中央本町１ [ ■ 周辺環境 ],梅島駅,10.0,28
78322402,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_78322402/,3180.0,3LDK,58.82,1997,4.0,11.0,東京都足立区西新井２ [ ■ 周辺環境 ],大師前駅,13.0,27
79077041,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_79077041/,3180.0,2LDK,60.62,1983,2.0,5.0,東京都足立区東和５ [ ■ 周辺環境 ],北綾瀬駅,9.0,15
20153472,https://suumo.jp/ms/chuko/tokyo/sc_edogawa/nc_20153472/,3080.0,3LDK,67.15,1983,2.0,9.0,東京都江戸川区松島１ [ ■ 周辺環境 ],新小岩駅,23.0,22
20215001,https://suumo.jp/ms/chuko/tokyo/sc_itabashi/nc_20215001/,3180.0,4DK,72.66,1981,4.0,4.0,東京都板橋区高島平１ [ ■ 周辺環境 ],西台駅,6.0,22
20355293,https://suumo.jp/ms/chuko/tokyo/sc_itabashi/nc_20355293/,2999.0,2LDK,49.52,1978,2.0,9.0,東京都板橋区蓮根３-14-25 [ ■ 周辺環境 ],蓮根駅,6.0,32
20157549,https://suumo.jp/ms/chuko/tokyo/sc_katsushika/nc_20157549/,3180.0,3LDK,56.65,1984,5.0,7.0,東京都葛飾区堀切８ [ ■ 周辺環境 ],綾瀬駅,14.0,23
20341357,https://suumo.jp/ms/chuko/tokyo/sc_katsushika/nc_20341357/,3000.0,1LDK,46.43,1975,8.0,8.0,東京都葛飾区東新小岩３ [ ■ 周辺環境 ],新小岩駅,10.0,28
78616145,https://suumo.jp/ms/chuko/tokyo/sc_kita/nc_78616145/,3180.0,1DK,36.69,1983,2.0,10.0,東京都北区王子１ [ ■ 周辺環境 ],王子駅,5.0,23
78973145,https://suumo.jp/ms/chuko/tokyo/sc_koto/nc_78973145/,3100.0,3DK,60.72,1977,8.0,14.0,東京都江東区南砂４-12-10 [ ■ 周辺環境 ],南砂町駅,9.0,24
20089255,https://suumo.jp/ms/chuko/tokyo/sc_meguro/nc_20089255/,3000.0,1DK,32.21,1968,7.0,17.0,東京都目黒区青葉台４ [ ■ 周辺環境 ],神泉駅,7.0,24
79046921,https://suumo.jp/ms/chuko/tokyo/sc_nerima/nc_79046921/,3100.0,2DK,44.69,1981,10.0,10.0,東京都練馬区石神井町３-25-21 [ ■ 周辺環境 ],石神井公園駅,1.0,22
79118427,https://suumo.jp/ms/chuko/tokyo/sc_nerima/nc_79118427/,3080.0,２DK,49.41,1983,1.0,3.0,東京都練馬区東大泉４ [ ■ 周辺環境 ],大泉学園駅,4.0,22
79156789,https://suumo.jp/ms/chuko/tokyo/sc_ota/nc_79156789/,3180.0,1DK,31.09,1972,7.0,7.0,東京都大田区田園調布２-36-2 [ ■ 周辺環境 ],田園調布駅,8.0,25
20060915,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_20060915/,3080.0,1LDK,32.93,1967,1.0,5.0,東京都世田谷区下馬４ [ ■ 周辺環境 ],祐天寺駅,13.0,23
20354084,https://suumo.jp/ms/chuko/tokyo/sc_shinagawa/nc_20354084/,2999.0,1LDK,37.87,1979,8.0,8.0,東京都品川区西五反田２-26-4 [ ■ 周辺環境 ],五反田駅,4.0,34
79096503,https://suumo.jp/ms/chuko/tokyo/sc_shinagawa/nc_79096503/,2999.0,1LDK,37.87,1979,8.0,8.0,東京都品川区西五反田２ [ ■ 周辺環境 ],五反田駅,4.0,22
20323930,https://suumo.jp/ms/chuko/tokyo/sc_shinjuku/nc_20323930/,2999.0,1LDK,33.48,1972,4.0,1.0,東京都新宿区上落合２-10-6 [ ■ 周辺環境 ],中井駅,4.0,32
77279002,https://suumo.jp/ms/chuko/tokyo/sc_shinjuku/nc_77279002/,3080.0,2LDK,45.98,1964,4.0,7.0,東京都新宿区西落合２-7-25 [ ■ 周辺環境 ],落合南長崎駅,8.0,22
20295487,https://suumo.jp/ms/chuko/tokyo/sc_suginami/nc_20295487/,2999.0,1LDK,38.5,1973,13.0,13.0,東京都杉並区和泉４ [ ■ 周辺環境 ],方南町駅,3.0,32
20324041,https://suumo.jp/ms/chuko/tokyo/sc_suginami/nc_20324041/,3180.0,2LDK,60.5,1971,8.0,11.0,東京都杉並区下高井戸２-10-21 [ ■ 周辺環境 ],桜上水駅,7.0,29
20324061,https://suumo.jp/ms/chuko/tokyo/sc_suginami/nc_20324061/,2999.0,1LDK,38.5,1973,13.0,13.0,東京都杉並区和泉４-42-37 [ ■ 周辺環境 ],方南町駅,3.0,33
20324151,https://suumo.jp/ms/chuko/tokyo/sc_suginami/nc_20324151/,3180.0,1DK,30.24,1985,4.0,1.0,東京都杉並区桃井２-2-2 [ ■ 周辺環境 ],荻窪駅,14.0,34
78619646,https://suumo.jp/ms/chuko/tokyo/sc_toshima/nc_78619646/,3180.0,1DK,37.8,1982,3.0,11.0,東京都豊島区巣鴨３ [ ■ 周辺環境 ],巣鴨駅,6.0,26
20092259,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20092259/,3199.0,3LDK,62.72,1995,1.0,8.0,東京都足立区西新井５ [ ■ 周辺環境 ],大師前駅,11.0,25
20289450,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20289450/,3280.0,3DK,54.59,1988,3.0,5.0,東京都足立区六木１ [ ■ 周辺環境 ],北綾瀬駅,20.0,28
79161644,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_79161644/,3199.0,3LDK,58.08,1995,1.0,8.0,東京都足立区西新井５ [ ■ 周辺環境 ],大師前駅,11.0,24
79212032,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_79212032/,3199.0,3LDK,62.72,1995,1.0,8.0,東京都足立区西新井５ [ ■ 周辺環境 ],大師前駅,11.0,35
79228659,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_79228659/,3199.0,3LDK,62.72,1995,1.0,8.0,東京都足立区西新井５-16-14 [ ■ 周辺環境 ],大師前駅,11.0,20
20347655,https://suumo.jp/ms/chuko/tokyo/sc_arakawa/nc_20347655/,3190.0,1LDK,39.7,1978,12.0,12.0,東京都荒川区南千住５ [ ■ 周辺環境 ],三ノ輪駅,6.0,24
78701466,https://suumo.jp/ms/chuko/tokyo/sc_edogawa/nc_78701466/,3280.0,2LDK,57.17,1990,4.0,1.0,東京都江戸川区北小岩２ [ ■ 周辺環境 ],京成小岩駅,3.0,28
20033825,https://suumo.jp/ms/chuko/tokyo/sc_itabashi/nc_20033825/,3190.0,2LDK,48.6,1974,9.0,10.0,東京都板橋区栄町 [ ■ 周辺環境 ],中板橋駅,7.0,27
20315406,https://suumo.jp/ms/chuko/tokyo/sc_itabashi/nc_20315406/,3280.0,2DK,45.92,1983,6.0,6.0,東京都板橋区若木１ [ ■ 周辺環境 ],上板橋駅,8.0,27
78640682,https://suumo.jp/ms/chuko/tokyo/sc_itabashi/nc_78640682/,3190.0,2LDK,48.6,1974,9.0,10.0,東京都板橋区栄町 [ ■ 周辺環境 ],中板橋駅,7.0,23
20348963,https://suumo.jp/ms/chuko/tokyo/sc_katsushika/nc_20348963/,3230.0,3LDK,56.7,1995,11.0,13.0,東京都葛飾区立石２ [ ■ 周辺環境 ],京成立石駅,12.0,32
79014779,https://suumo.jp/ms/chuko/tokyo/sc_katsushika/nc_79014779/,3280.0,2LDK,51.84,1984,3.0,5.0,東京都葛飾区柴又１-39-10 [ ■ 周辺環境 ],柴又駅,5.0,24
20265262,https://suumo.jp/ms/chuko/tokyo/sc_kita/nc_20265262/,3280.0,2DK,45.12,1978,4.0,7.0,東京都北区赤羽１ [ ■ 周辺環境 ],赤羽駅,5.0,23
20324065,https://suumo.jp/ms/chuko/tokyo/sc_kita/nc_20324065/,3280.0,2DK,45.12,1978,4.0,7.0,東京都北区赤羽１-42-11 [ ■ 周辺環境 ],赤羽駅,5.0,32
20221057,https://suumo.jp/ms/chuko/tokyo/sc_nerima/nc_20221057/,3200.0,3LDK,82.88,1975,2.0,3.0,東京都練馬区関町北４-33-31 [ ■ 周辺環境 ],武蔵関駅,8.0,24
